県名,No,変電所名,電圧kV_一次,電圧kV_二次,台数,設備容量MW,運用容量値MW,運用容量制約要因,空容量_当該設備MW,空容量_上位系等考慮MW,N1電制_適用可否,N1電制_適用可能量MW,平常時出力制御の可能性,平常時出力制御_当該設備,平常時出力制御_上位系設備,備考
栃木県,82,山辺,66,6.6以下,2,38,39,熱容量,13,13,不可,-,-,-,-,-
栃木県,83,南小山,66,6.6以下,3,57,59,熱容量,14,0,不可,-,有り,-,送52/変4,上位系（変4）による制約
栃木県,84,赤麻,66,6.6以下,3,52,54,熱容量,0,0,不可,-,有り,-,送52/変4,上位系（変4）による制約
栃木県,85,南佐野,154,6.6以下,3,57,59,熱容量,13,0,不可,-,有り,-,送52/変4,上位系（変4）による制約
栃木県,86,田島町,66,6.6以下,2,38,39,熱容量,8,0,不可,-,有り,-,送52/変4,上位系（変4）による制約
栃木県,87,久保田,66,6.6以下,3,38,39,熱容量,0,0,不可,-,有り,-,-,-
栃木県,88,御厨,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,-
栃木県,89,東野田,154,6.6以下,2,38,39,熱容量,0,0,不可,-,有り,-,送52/変4,上位系（送栃木154kV12）による制約
栃木県,90,乙女,66,6.6以下,2,28,29,熱容量,6,0,不可,-,有り,-,送52/変4,上位系（変4）による制約
栃木県,91,南赤塚,154,6.6以下,2,38,39,熱容量,6,0,不可,-,有り,-,送52/変4,上位系（送栃木154kV12）による制約
