name,voltage_kv,operator,lat,lon
今泉変電所,750.0,宇都宮ライトレール,36.55983865,139.91053215
平出変電所,750.0,宇都宮ライトレール,36.55405015000001,139.9403739
芳賀変電所,750.0,宇都宮ライトレール株式会社,36.56391408482578,140.00972200197648
新今市開閉所,500.0,東京電力パワーグリッド,36.71278778716563,139.83247072397475
新新田変電所,500.0,東京電力パワーグリッド,36.326245410393284,139.3047434468216
新栃木変電所,500.0,東京電力パワーグリッド,36.655431356140184,139.91763074357775
新筑波変電所,500.0,東京電力パワーグリッド,36.16713027984859,139.90353087385083
新茂木,500.0,TEPCO,36.52267413332215,140.15277410794283
北熊谷変電所,275.0,東京電力,36.205371328092944,139.3448206234399
東毛変電所,275.0,東京電力パワーグリッド,36.29912160000001,139.32870974999997
下滝開閉所,154.0,東京電力パワーグリッド,36.73700735735558,139.96416551221992
佐野変電所,154.0,東京電力パワーグリッド,36.28032772626488,139.55478220113667
八千代変電所,154.0,東京電力パワーグリッド,36.17563299455223,139.89305248444848
南佐野変電所,154.0,東京電力パワーグリッド,36.29280839783382,139.58877055529373
南赤塚変電所,154.0,東京電力パワーグリッド,36.22489088084861,139.7427072781637
宝積寺変電所,154.0,東京電力パワーグリッド,36.624642252579754,139.99048061517516
小山変電所,154.0,東京電力パワーグリッド,36.325794959169656,139.8166106964061
徳次郎変電所,154.0,東京電力パワーグリッド,36.66272059670919,139.83660599616326
新宇都宮変電所,154.0,東日本旅客鉄道株式会社,36.655157712886044,139.91358527342211
東太田変電所,154.0,東京電力パワーグリッド,36.31718849196851,139.40498675092903
東野田変電所,154.0,東京電力パワーグリッド,36.25361850226396,139.79756215928592
栃山開閉所,154.0,東京電力パワーグリッド,36.47029708048869,139.88456601701654
河内変電所,154.0,東京電力パワーグリッド,36.62387510785658,139.94036645775248
清原変電所,154.0,東京電力パワーグリッド,36.546602923019336,139.98130329795916
砂田変電所,154.0,東京電力パワーグリッド,36.49693569876328,139.90566029406384
簗瀬町変電所,154.0,東京電力パワーグリッド,36.54877126368357,139.89123329463172
芳賀変電所,154.0,東京電力パワーグリッド,36.51447925808691,140.01005930394123
茂木変電所,154.0,東京電力パワーグリッド,36.53918011196256,140.2043473675696
西宇都宮変電所,154.0,東京電力パワーグリッド,36.58152953007355,139.82194105095707
那須野変電所,154.0,東京電力パワーグリッド,36.93792019888046,140.03842247636067
野木変電所,154.0,東京電力パワーグリッド,36.244434141436344,139.7560241503547
うずら変電所,66.0,東京電力パワーグリッド,36.2682561166058,139.48832998051518
ロイヤルカントリーメガソーラー発電所変電設備,66.0,,36.718852796484235,139.88314708018436
三の沢変電所,66.0,東京電力パワーグリッド,36.56493317885626,139.85369490090196
三和変電所,66.0,東京電力パワーグリッド,36.15587024477796,139.81382110994127
三菱電工線変電所,66.0,東京電力,36.182225569829654,139.32689599040742
上大島変電所,66.0,東京電力パワーグリッド,36.22420013576291,140.0643037341148
上川井変電所,66.0,東京電力パワーグリッド,36.7188166434286,140.06741426410954
上殿変電所,66.0,東京電力パワーグリッド,36.55307218596934,139.75507848887133
上郷変電所,66.0,東京電力パワーグリッド,36.454634483734225,139.93784334973915
下妻変電所,66.0,東京電力パワーグリッド,36.180417493013074,139.95641092243943
下栗変電所,66.0,東京電力パワーグリッド,36.535038690827065,139.918007353306
下館変電所,66.0,東京電力パワーグリッド,36.30831027139247,139.97100659193032
下高根沢変電所,66.0,東京電力パワーグリッド,36.55824610145058,140.0163227580417
世良田変電所,66.0,東京電力パワーグリッド,36.27050454086081,139.2868179090645
中岩開閉所,66.0,東京電力パワーグリッド,36.785823012010866,139.70279500884905
中禅寺変電所,66.0,東京電力パワーグリッド,36.735953020213444,139.5006541130553
久保田変電所,66.0,東京電力パワーグリッド,36.29024200622766,139.49087515027298
乙女変電所,66.0,東京電力パワーグリッド,36.25949275005955,139.75206804365772
二宮変電所,66.0,東京電力パワーグリッド,36.38717368263337,139.9641722222474
今市変電所,66.0,東京電力パワーグリッド,36.71683756807271,139.6963035625354
元宿変電所,66.0,東京電力パワーグリッド,36.40934201677577,139.33024393851628
八郷変電所,66.0,東京電力パワーグリッド,36.24096649075709,140.20174120281277
内ケ島変電所,66.0,東京電力パワーグリッド,36.28360855881806,139.3889172032846
別所変電所,66.0,東京電力,36.18825316976514,139.3474798495824
前澤化成工業変電所,66.0,東京電力,36.212464748101965,139.3355571813013
匠町変電所,66.0,東京電力パワーグリッド,36.7499182675075,139.5939896123844
協和変電所,66.0,東京電力パワーグリッド,36.34501825237836,140.0328135191436
南古河変電所,66.0,東京電力パワーグリッド,36.17542343525198,139.72218500320344
南小山変電所,66.0,東京電力パワーグリッド,36.30091124567024,139.80064392660927
南結城変電所,66.0,東京電力パワーグリッド,36.27937927619856,139.85457192739005
古河変電所,66.0,東京電力パワーグリッド,36.19920212758576,139.7075469551932
喜連川変電所,66.0,東京電力パワーグリッド,36.746596332650974,139.96882316932744
国分寺変電所,66.0,東京電力パワーグリッド,36.36569838575987,139.84624004805633
国際電電八俣変電所,66.0,,36.17284759607034,139.81644972478003
坂田変電所,66.0,東京電力パワーグリッド,36.26188848977204,139.40282454632944
城山変電所,66.0,東京電力パワーグリッド,36.319031011106205,139.57795799438935
境野変電所,66.0,東京電力パワーグリッド,36.39209371745899,139.3442922873542
壬生変電所,66.0,東京電力パワーグリッド,36.435806797487224,139.81135012688412
大沢変電所,66.0,東京電力パワーグリッド,36.68168945826435,139.748797886388
大田原変電所,66.0,東京電力パワーグリッド,36.871937149118814,140.02635811199755
大間々変電所,66.0,東京電力パワーグリッド,36.42309201117499,139.2771254342813
太田変電所,66.0,東京電力パワーグリッド,36.29461538351058,139.37050134300418
太田緑町変電所,66.0,東京電力パワーグリッド,36.33154316664745,139.36789566175878
妻沼変電所,66.0,東京電力,36.20198691495334,139.3727938389321
宇都宮変電所,66.0,東京電力パワーグリッド,36.568684802865896,139.88828949018267
宝木変電所,66.0,東京電力パワーグリッド,36.593834767637,139.85398422352722
宿郷変電所,66.0,東京電力パワーグリッド,36.554481001768885,139.9027212778771
富士通熊谷変電所,66.0,東京電力,36.18891162539983,139.37145008759094
富若変電所,66.0,東京電力パワーグリッド,36.320637305121124,139.39806029342995
小室変電所,66.0,東京電力パワーグリッド,36.719240260306705,139.88367276371807
尾島変電所,66.0,東京電力パワーグリッド,36.259932175183366,139.33375441015755
山辺変電所,66.0,東京電力パワーグリッド,36.32657538649182,139.42879348741366
岩曽変電所,66.0,東京電力パワーグリッド,36.59229300829012,139.90727440692652
岩瀬変電所,66.0,東京電力パワーグリッド,36.36676151139275,140.11405101565003
川俣変電所,66.0,東京電力パワーグリッド,36.87375719345545,139.52109310502087
川島変電所,66.0,東京電力パワーグリッド,36.31741129296396,139.93909116610007
川治変電所,66.0,東京電力パワーグリッド,36.89452605349121,139.7020476902686
市塙変電所,66.0,東京電力パワーグリッド,36.5375234150436,140.100974621987
平出変電所,66.0,東京電力パワーグリッド,36.571970911471716,139.93499555803453
平出工業団地変電所_2,66.0,,36.58757311967463,139.92927284070808
平石変電所,66.0,東京電力パワーグリッド,36.55739751777097,139.93982217587842
広沢変電所,66.0,東京電力パワーグリッド,36.39018486998027,139.32055430081758
御厨変電所,66.0,東京電力パワーグリッド,36.30833671636689,139.44634772456251
戸祭変電所,66.0,東京電力パワーグリッド,36.5721564,139.88000344999998
所野変電所,66.0,東京電力パワーグリッド,36.74935149962858,139.6250037100873
新田変電所,66.0,東京電力パワーグリッド,36.30227764419669,139.28875797642868
日光市変電所_2,66.0,,36.74817158253701,139.76409649821235
日本銅管熊谷変電所,66.0,東京電力,36.18153319658685,139.32282214522962
明野変電所,66.0,東京電力パワーグリッド,36.275306374453805,140.03110722848933
本郷町変電所,66.0,東京電力パワーグリッド,36.3190348331346,139.80083875442662
東山変電所,66.0,東京電力パワーグリッド,36.336730776037385,139.46122843500194
東羽生変電所,66.0,東京電力パワーグリッド,36.164290831391114,139.56339973337896
東芝深谷変電所,66.0,東京電力,36.178660597432426,139.32138744881232
東足利変電所,66.0,東京電力パワーグリッド,36.32520298202751,139.4703593552711
松ケ峰変電所,66.0,東京電力パワーグリッド,36.556509656604874,139.8813664876366
栃木変電所,66.0,東京電力パワーグリッド,36.38770696096915,139.73721463691479
栗山変電所,66.0,東京電力パワーグリッド,36.86849909245159,139.60559434181675
桐生変電所,66.0,東京電力パワーグリッド,36.41137727573435,139.34243755143572
梅沢変電所,66.0,東京電力パワーグリッド,36.43827657183852,139.65753634156658
